heart_rate,cadence,power,core_temperature,skin_temperature
138,88,245,37.76,31.25
138,88,244,37.76,31.25
138,88,244,37.75,31.25
139,88,243,37.75,31.25
138,88,242,37.75,31.25
139,88,243,37.75,31.25
140,88,243,37.75,31.25
140,88,248,37.75,31.25
140,88,251,37.76,31.25
140,90,249,37.76,31.25
141,90,250,37.76,31.25
141,90,248,37.77,31.25
141,90,248,37.77,31.25
141,90,249,37.77,31.25
141,90,244,37.77,31.25
141,89,247,37.77,31.25
141,89,250,37.77,31.25
141,89,251,37.77,31.25
141,89,252,37.77,31.3
141,89,252,37.77,31.3
141,89,251,37.77,31.3
141,89,252,37.78,31.3
141,90,252,37.78,31.3
141,90,253,37.78,31.3
141,90,257,37.78,31.3
141,90,257,37.78,31.3
141,89,256,37.78,31.3
141,89,255,37.78,31.3
142,89,252,37.78,31.3
141,89,250,37.78,31.3
141,89,249,37.78,31.3
141,89,251,37.77,31.3
141,90,252,37.77,31.3
140,90,251,37.77,31.3
140,90,251,37.77,31.3
140,89,256,37.77,31.3
140,89,257,37.77,31.3
141,89,258,37.77,31.3
141,89,255,37.77,31.3
140,89,251,37.77,31.3
141,89,247,37.77,31.3
141,89,246,37.76,31.3
141,89,245,37.76,31.3
141,89,245,37.76,31.3
141,89,246,37.76,31.3
141,89,247,37.76,31.3
141,89,249,37.76,31.3
141,89,247,37.76,31.3
141,89,247,37.76,31.3
140,89,247,37.76,31.3
141,89,244,37.76,31.3
140,89,242,37.76,31.3
140,89,240,37.76,31.3
140,89,236,37.76,31.3
139,88,235,37.76,31.3
139,88,230,37.76,31.3
138,88,220,37.78,31.35
137,0,208,37.78,31.35
137,47,208,37.78,31.35
136,47,208,37.78,31.35
136,47,0,37.78,31.35
137,47,0,37.77,31.35
137,47,0,37.77,31.35
137,47,0,37.77,31.35
138,47,0,37.77,31.35
138,47,0,37.77,31.35
138,60,0,37.77,31.35
139,70,118,37.78,31.35
139,70,176,37.78,31.35
138,70,216,37.78,31.35
137,89,248,37.78,31.35
136,89,248,37.79,31.35
134,89,253,37.79,31.35
133,89,254,37.79,31.35
132,89,249,37.79,31.35
130,89,243,37.79,31.35
129,90,242,37.79,31.35
129,90,241,37.79,31.35
128,90,238,37.79,31.35
127,90,239,37.79,31.35
127,90,239,37.79,31.35
126,90,245,37.8,31.35
125,90,243,37.8,31.35
124,88,242,37.8,31.35
123,88,242,37.8,31.35
123,88,241,37.8,31.4
123,88,236,37.8,31.4
123,88,234,37.8,31.4
122,90,236,37.8,31.4
122,90,239,37.8,31.4
122,90,240,37.8,31.4
122,90,241,37.79,31.4
122,90,243,37.79,31.4
122,90,245,37.79,31.4
123,90,247,37.79,31.4
123,90,247,37.79,31.4
124,90,249,37.79,31.4
124,90,249,37.79,31.4
124,90,250,37.79,31.4
124,90,252,37.79,31.4
125,90,253,37.79,31.4
125,90,254,37.78,31.4
125,90,251,37.78,31.4
125,90,244,37.78,31.4
125,90,243,37.78,31.4
126,90,240,37.78,31.4
126,90,238,37.78,31.4
126,90,237,37.78,31.4
126,90,241,37.78,31.4
127,90,242,37.78,31.4
127,90,245,37.78,31.4
127,90,246,37.8,31.4
128,90,245,37.8,31.4
